item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,is_active,needs_pricing_review,price_last_updated_at
SOF62712,Soffit 2700 X 1200 X 6,"",Each,33.9182,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
SOF3009,Soffit 3000 X 900 X 4.5,"",Each,18.1636,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
SOF63012,Soffit 3000 X 1200 X 6,"",Each,50.0182,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
JM4524,H Mould 4.5mm X 2400 PVC White HM4,"",Each,1.04,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
JM453,H Mould 4.5mm X 3000 PVC White HM4,"",Each,1.7727,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
JM624,H Mould 6mm X 2400 PVC White HM10,"",Each,3.0636,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
JM63,H Mould 6mm X 3000 PVC White HM10,"",Each,3.8273,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
WF5038,Flashing Window 50 X 38 X 1800mm,"",Each,12.23,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
HTEX249,Hardietex Base Sheet 2440 X 900 X 7.5mm,"",shts,43.1457,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
HTEX279,Hardietex Base Sheet 2725 X 900 X 7.5mm,"",shts,24.8182,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
20MMDG,20mm Drainage Gravel,"",M3,47.0,LANDSCAPING,"","",true,false,2025-11-04 01:40:10 UTC
RDBASEM3,Road Base,"",M3,43.0,LANDSCAPING,"","",true,false,2025-11-04 01:40:10 UTC
DECSCREEFINE,Deco Screened Fine,"",M3,25.0,LANDSCAPING,"","",true,false,2025-11-04 01:40:10 UTC
ACP30M,Addtional Concrete Pumped Over 30m3,"",M3,15.0,CONCRETE PUMPING,"","",true,false,2025-11-04 01:40:10 UTC
LAMINATE,Laminates,"",each,1.0,FLOOR COVERING,"","",true,false,2025-11-04 01:40:10 UTC
VINYLFLR,Vinyl Flooring as per Quote,"",each,1.0,FLOOR COVERING,"","",true,false,2025-11-04 01:40:10 UTC
ADDCHARGE,Additional Charge outside normal working hours,"",hours,10.0,,"","",true,false,2025-11-04 01:40:10 UTC
SSFL,Abey Flushline Laundry Tub,"",each,145.0,Harvey Norman Commercial QLD,"","",true,false,2025-11-04 01:40:10 UTC
71X4000,Everhard 40L Standard Laundry Tub & Cabinet 600 X 500 X 870mm,"",Each,188.45,Harvey Norman Commercial QLD,"","",true,false,2025-11-04 01:40:10 UTC
HDE770,Corinthian Honeycomb Core External 2040 X 770,"",Each,50.4,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
HDE820,Corinthian Honeycomb Core External 2040 X 820,"",Each,50.4,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
HDE870,Corinthian Honeycomb Core External 2040 X 870,"",Each,51.6,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
DCRD,Door Catch Robe Door,"",Each,0.6,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
DCSD,Door Catch Swinging Door,"",Each,0.9455,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
CP10060,Connector Plate Pryda 100 X 60 W/Nails,"",Each,0.3818,Finlaysons Timber & Hardware Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
WF11375,Flashing Galvanised Window 113 X 75 X 1800mm Galv,"",Each,22.3364,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
WF7538,Flashing Galvanised Window 75 X 38 X 1800mm Galv,"",Each,17.8182,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
NC753.8100,Nails Concrete Flat Box/100 65 X 3.5 W/O Washer,"",Each,11.1818,Finlaysons Timber & Hardware Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
NSG302.81,Nails Strapping Galv 30 X 2.8 1kg,"",Each,14.0364,Finlaysons Timber & Hardware Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
SOF2709,Soffit 2700 X 900 X 4.5,"",Each,16.3545,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
SOF2712,Soffit 2700 X 1200 X 4.5,"",Each,31.8182,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
SOF3012,Soffit 3000 X 1200 X 4.5,"",Each,31.6364,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
SOF2412,Soffit 2400 X 1200 X 4.5,"",Each,25.3091,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
SOF1809,Soffit 1800 X 900 X 4.5,"",Each,17.1818,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
SOF24075,Soffit 2400 X 750 X 4.5,"",Each,18.27,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
SOF2409,Soffit 2400 X 900 X 4.5,"",Each,14.5091,SOFFIT,"","",true,false,2025-11-04 01:40:10 UTC
WB4200250,Weatherboard Rusticated 4200 X 205,"",shts,14.6182,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
L27100,Lintel Ingal 100 X 100 - 2700mm,"",Each,73.5909,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
PLY2409,Plywood Bracing 2440 X 900 X 4mm,"",shts,12.6818,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
DECKPINE9020,Treated Pine 90 X 20 Decking Material,"",lm,2.3636,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
FLR3,Flooring Yellow Tongue 3600 X 900 X 19,"",shts,39.4636,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
LOSPGMP10,Pine Structural Framesure 70 X 35 MGP10 LOSP H2,"",lm,2.4636,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
LOSPMGP121,Pine Structural Framesure 70 X 35 MGP12 LOSP,"",lm,2.8091,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
SITEWKS3,Travel to Site,"",hours,129.1,,"","",true,false,2025-11-04 01:40:10 UTC
IFRI,Inspection Frame - Ipswich,"",Each,95.4545,Fluid Building Approvals,"","",true,false,2025-11-04 01:40:10 UTC
BOSI,Build Over Sewer - Ipswich,"",Each,125.0,Fluid Building Approvals,"","",true,false,2025-11-04 01:40:10 UTC
NT1525W,Decina Novara Bath 1525mm (Tile Bead),"",each,204.9182,Harvey Norman Commercial QLD,"","",true,false,2025-11-04 01:40:10 UTC
NT1665W,Decina Novara Bath 1665mm (Tile Bead - only use when shower over bath),"",each,220.1,Harvey Norman Commercial QLD,"","",true,false,2025-11-04 01:40:10 UTC
PLED,Elevated Drainage,"",Each,290.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
POST10010042500,100 X 100 X 4 2500mm Steel Post,"",leng,105.1909,Harvey's Mechanical & Welding Services Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
PLEI,Fit Off Insinkerator,"",Each,47.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
CBTRAVEL,Depot Travelling Charge,"",hr/tru,45.0,Harvey's Mechanical & Welding Services Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
PLSW,Plumbing Stack Work as Required,"",Each,752.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
PLESHW,Rough In Solar Hot Water,"",Each,263.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
PLESB,Fit Off Spa Bath,"",Each,158.0,PLUMBER,"","",true,false,2025-11-04 01:40:10 UTC
MS2427,Mirror Sliders 2400 X 2700,"",Each,592.0,Civic Shower Screens & Wardrobes,"","",true,false,2025-11-04 01:40:10 UTC
MS2430,Mirror Sliders 2400 X 3000,"",Each,646.0,Civic Shower Screens & Wardrobes,"","",true,false,2025-11-04 01:40:10 UTC
MS2436,Mirror Sliders 2400 X 3600,"",Each,698.0,Civic Shower Screens & Wardrobes,"","",true,false,2025-11-04 01:40:10 UTC
