name,contact_person,email,phone,address,rating,response_rate,avg_response_time,notes,is_active
Chromagen Australia Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
TEMPORARY FENCING,"","","","",3,75.0,24,Imported from EasyBuild,true
H Design Hydraulic Engineering Group Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
Spot On Plumbing and Drainage,"","","","",3,75.0,24,Imported from EasyBuild,true
TRUSSES,"","","","",3,75.0,24,Imported from EasyBuild,true
La Rocca QLD Marble and Granite Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
AIR CONDITIONING,"","","","",3,75.0,24,Imported from EasyBuild,true
Origin Energy,"","","","",3,75.0,24,Imported from EasyBuild,true
SKYLIGHTS,"","","","",3,75.0,24,Imported from EasyBuild,true
GMA Certification Group,"","","","",3,75.0,24,Imported from EasyBuild,true
INSURANCE,"","","","",3,75.0,24,Imported from EasyBuild,true
Hafele,"","","","",3,75.0,24,Imported from EasyBuild,true
All Industry Safety QLD (AIS),"","","","",3,75.0,24,Imported from EasyBuild,true
QUICK SPEC,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna T3D,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna   Admin,"","","","",3,75.0,24,Imported from EasyBuild,true
TILE,"","","","",3,75.0,24,Imported from EasyBuild,true
AW GEOTECHNICS,"","","","",3,75.0,24,Imported from EasyBuild,true
Accelerate Sustainability Assessments,"","","","",3,75.0,24,Imported from EasyBuild,true
The One Group,"","","","",3,75.0,24,Imported from EasyBuild,true
Keeler Hardware,"","","","",3,75.0,24,Imported from EasyBuild,true
EXTERNAL CLADDING,"","","","",3,75.0,24,Imported from EasyBuild,true
Gold Coast Gappng,"","","","",3,75.0,24,Imported from EasyBuild,true
D.A.M Quality Plasterboard Finishes,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Franchise,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Marketing,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Coach,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Sales,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Supervisor,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Homes,"","","","",3,75.0,24,Imported from EasyBuild,true
Queensland Gate Automation,"","","","",3,75.0,24,Imported from EasyBuild,true
Stratus,"","","","",3,75.0,24,Imported from EasyBuild,true
Open Electrical,"","","","",3,75.0,24,Imported from EasyBuild,true
AusCoast Fire,"","","","",3,75.0,24,Imported from EasyBuild,true
Australian Disability Homes,"","","","",3,75.0,24,Imported from EasyBuild,true
Logan City Council,"","","","",3,75.0,24,Imported from EasyBuild,true
Latitude 28 Cabling Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
All Clear Electrical,"","","","",3,75.0,24,Imported from EasyBuild,true
RJF Installations,"","","","",3,75.0,24,Imported from EasyBuild,true
PRIVATE CERTIFIER,"","","","",3,75.0,24,Imported from EasyBuild,true
SITE CLEAN,"","","","",3,75.0,24,Imported from EasyBuild,true
SITE WORKS,"","","","",3,75.0,24,Imported from EasyBuild,true
BWS Earthworks,"","","","",3,75.0,24,Imported from EasyBuild,true
Heartwood Industries Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
CONCRETE CUTTING,"","","","",3,75.0,24,Imported from EasyBuild,true
STEEL,"","","","",3,75.0,24,Imported from EasyBuild,true
FIX-OUT MATERIALS,"","","","",3,75.0,24,Imported from EasyBuild,true
HIRE,"","","","",3,75.0,24,Imported from EasyBuild,true
WET SEAL,"","","","",3,75.0,24,Imported from EasyBuild,true
Nu Style Trade Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
Direct Scaffold Pty LTD,"","","","",3,75.0,24,Imported from EasyBuild,true
DOOR FURNITURE,"","","","",3,75.0,24,Imported from EasyBuild,true
BRICK HARDWARE,"","","","",3,75.0,24,Imported from EasyBuild,true
INTERNAL DOORS,"","","","",3,75.0,24,Imported from EasyBuild,true
JJ & J Lyons Painter,"","","","",3,75.0,24,Imported from EasyBuild,true
ROOF,"","","","",3,75.0,24,Imported from EasyBuild,true
